experiment,n,method,time_us,residual
single,100,Gauss_no_pivot,4019,1.85361e-12
single,100,Gauss_pivot,3830,4.15155e-14
single,100,LU_decomp,3647,-1
single,100,LU_solve,86,4.52744e-12
single,100,LU_total,3733,4.52744e-12
single,200,Gauss_no_pivot,17393,1.01849e-10
single,200,Gauss_pivot,17647,9.39427e-13
single,200,LU_decomp,18131,-1
single,200,LU_solve,231,6.76108e-10
single,200,LU_total,18362,6.76108e-10
single,500,Gauss_no_pivot,264292,1.80609e-09
single,500,Gauss_pivot,265325,5.23227e-12
single,500,LU_decomp,285177,-1
single,500,LU_solve,1330,2.70852e-09
single,500,LU_total,286507,2.70852e-09
single,1000,Gauss_no_pivot,2093769,1.18305e-08
single,1000,Gauss_pivot,2103237,9.35073e-12
single,1000,LU_decomp,2356518,-1
single,1000,LU_solve,5259,5.05904e-09
single,1000,LU_total,2361777,5.05904e-09
multi_rhs,1,Gauss_pivot_total,267092,-1
multi_rhs,1,LU_total,287595,-1
multi_rhs,10,Gauss_pivot_total,2699986,-1
multi_rhs,10,LU_total,309782,-1
multi_rhs,100,Gauss_pivot_total,27094957,-1
multi_rhs,100,LU_total,425991,-1
hilbert,5,Gauss_no_pivot,2.73858e-13,2.22045e-16
hilbert,5,Gauss_pivot,4.62198e-13,1.11022e-16
hilbert,5,LU,5.68305e-13,0
hilbert,10,Gauss_no_pivot,0.000196009,5.76889e-16
hilbert,10,Gauss_pivot,0.000193143,3.14018e-16
hilbert,10,LU,0.000288717,5.87475e-16
hilbert,15,Gauss_no_pivot,-1,-1
hilbert,15,Gauss_pivot,-1,-1
hilbert,15,LU,-1,-1
